"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "SCSS", "TypeScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\useCarouselContentViewModel.ts", "TypeScript", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 16, 127
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselItem\CarouselItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselItem\CarouselItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselItem\ICarouselItemProps.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\useCarouselViewModel.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\detailedEntityIconList\DetailedEntityIconList.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\detailedEntityIconList\DetailedEntityIconList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\detailedEntityIconList\IDetailedEntityIconListProps.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\link\ILinkProps.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\link\Link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\loadingSpinner\ILoadingSpinnerProps.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\loadingSpinner\LoadingSpinner.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\loadingSpinner\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\IModalProps.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\Modal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\modal\useModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\quote\IQuoteProps.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\quote\Quote.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\quote\Quote.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\tabstrip\ITabstripProps.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
